bucket_age,Top offense,count,sencd
20 - 30,SECOND DEGREE MURDER,116,
20 - 30,FIRST DEGREE MURDER,25,
20 - 30,ARMED ROBBERY,20,
30 - 40,SECOND DEGREE MURDER,424,
30 - 40,FIRST DEGREE MURDER,78,
30 - 40,AGGRAVATED RAPE,77,
40 - 50,SECOND DEGREE MURDER,688,
40 - 50,FIRST DEGREE MURDER,210,
40 - 50,AGGRAVATED RAPE,188,
50 - 60,SECOND DEGREE MURDER,574,
50 - 60,AGGRAVATED RAPE,353,
50 - 60,FIRST DEGREE MURDER,235,
60 - 70,SECOND DEGREE MURDER,390,
60 - 70,AGGRAVATED RAPE,323,
60 - 70,FIRST DEGREE MURDER,203,
70 - 80,SECOND DEGREE MURDER,107,
70 - 80,AGGRAVATED RAPE,93,
70 - 80,FIRST DEGREE MURDER,77,
80 - 90,FIRST DEGREE MURDER,19,
80 - 90,SECOND DEGREE MURDER,16,
80 - 90,AGGRAVATED RAPE,13,