"","parish_of_conviction","race","total_convictions","total_parish","pct_of_total","geoid","total_race","white","black","pct_white","pct_black"
"1","Acadia","B",18,28,64.2857142857143,"22001",58200,45812,9652,78.7147766323024,16.5841924398625
"2","Acadia","W",10,28,35.7142857142857,"22001",58200,45812,9652,78.7147766323024,16.5841924398625
"3","Allen","B",12,52,23.0769230769231,"22003",23085,17268,4180,74.8018193632229,18.1069958847737
"4","Allen","W",40,52,76.9230769230769,"22003",23085,17268,4180,74.8018193632229,18.1069958847737
"5","Ascension","B",52,118,44.0677966101695,"22005",125289,86172,28535,68.7785839139909,22.7753434060452
"6","Ascension","H",1,118,0.847457627118644,"22005",125289,86172,28535,68.7785839139909,22.7753434060452
"7","Ascension","W",65,118,55.0847457627119,"22005",125289,86172,28535,68.7785839139909,22.7753434060452
"8","Assumption","B",25,33,75.7575757575758,"22007",21366,14161,6351,66.2781990077694,29.7247964055041
"9","Assumption","W",8,33,24.2424242424242,"22007",21366,14161,6351,66.2781990077694,29.7247964055041
"10","Avoyelles","B",42,59,71.1864406779661,"22009",39880,25951,10847,65.0727181544634,27.1990972918756
"11","Avoyelles","W",17,59,28.8135593220339,"22009",39880,25951,10847,65.0727181544634,27.1990972918756
"12","Beauregard","B",7,43,16.2790697674419,"22011",36417,29918,4396,82.153939094379,12.0712853886921
"13","Beauregard","W",36,43,83.7209302325581,"22011",36417,29918,4396,82.153939094379,12.0712853886921
"14","Bienville","B",15,17,88.2352941176471,"22013",13130,7147,5540,54.4325971058644,42.1934501142422
"15","Bienville","W",2,17,11.7647058823529,"22013",13130,7147,5540,54.4325971058644,42.1934501142422
"16","Bossier","B",54,87,62.0689655172414,"22015",128508,88396,30256,68.7863790581131,23.5440595138046
"17","Bossier","W",33,87,37.9310344827586,"22015",128508,88396,30256,68.7863790581131,23.5440595138046
"18","Caddo","B",435,525,82.8571428571429,"22017",239775,107795,117472,44.9567302679595,48.9925972265666
"19","Caddo","L",3,525,0.571428571428571,"22017",239775,107795,117472,44.9567302679595,48.9925972265666
"20","Caddo","W",87,525,16.5714285714286,"22017",239775,107795,117472,44.9567302679595,48.9925972265666
"21","Calcasieu","B",168,277,60.6498194945848,"22019",212646,146628,53236,68.9540362856578,25.0350347525935
"22","Calcasieu","W",109,277,39.3501805054152,"22019",212646,146628,53236,68.9540362856578,25.0350347525935
"23","Caldwell","B",5,7,71.4285714285714,"22021",9707,7676,1905,79.0769547749047,19.625012877305
"24","Caldwell","W",2,7,28.5714285714286,"22021",9707,7676,1905,79.0769547749047,19.625012877305
"25","Cameron","W",5,5,100,"22023",5650,5251,70,92.9380530973451,1.23893805309735
"26","Catahoula","B",3,30,10,"22025",9117,6025,2969,66.0853350882966,32.565536909071
"27","Catahoula","W",27,30,90,"22025",9117,6025,2969,66.0853350882966,32.565536909071
"28","Claiborne","B",31,33,93.9393939393939,"22027",14456,6498,7517,44.9501936912009,51.9991698948533
"29","Claiborne","W",2,33,6.06060606060606,"22027",14456,6498,7517,44.9501936912009,51.9991698948533
"30","Concordia","B",14,24,58.3333333333333,"22029",18989,10814,7606,56.9487598083101,40.0547685502133
"31","Concordia","W",10,24,41.6666666666667,"22029",18989,10814,7606,56.9487598083101,40.0547685502133
"32","DeSoto","B",35,42,83.3333333333333,NA,NA,NA,NA,NA,NA
"33","DeSoto","W",7,42,16.6666666666667,NA,NA,NA,NA,NA,NA
"34","East Baton Rouge","A",3,843,0.355871886120996,"22033",455447,206470,206679,45.3334855647309,45.3793745485205
"35","East Baton Rouge","B",721,843,85.5278766310795,"22033",455447,206470,206679,45.3334855647309,45.3793745485205
"36","East Baton Rouge","W",119,843,14.1162514827995,"22033",455447,206470,206679,45.3334855647309,45.3793745485205
"37","East Carroll","B",12,13,92.3076923076923,"22035",7502,2134,5042,28.4457478005865,67.208744334844
"38","East Carroll","W",1,13,7.69230769230769,"22035",7502,2134,5042,28.4457478005865,67.208744334844
"39","East Feliciana","B",10,12,83.3333333333333,"22037",19588,10663,8144,54.4363896263018,41.5764753930978
"40","East Feliciana","W",2,12,16.6666666666667,"22037",19588,10663,8144,54.4363896263018,41.5764753930978
"41","Evangeline","B",38,57,66.6666666666667,"22039",32538,21556,8637,66.2486938349007,26.5443481467822
"42","Evangeline","W",19,57,33.3333333333333,"22039",32538,21556,8637,66.2486938349007,26.5443481467822
"43","Franklin","B",20,23,86.9565217391304,"22041",19964,13029,6613,65.2624724504107,33.1246243237828
"44","Franklin","I",1,23,4.34782608695652,"22041",19964,13029,6613,65.2624724504107,33.1246243237828
"45","Franklin","W",2,23,8.69565217391304,"22041",19964,13029,6613,65.2624724504107,33.1246243237828
"46","Grant","B",1,6,16.6666666666667,"22043",22236,17643,3544,79.3443065299514,15.9381183666127
"47","Grant","W",5,6,83.3333333333333,"22043",22236,17643,3544,79.3443065299514,15.9381183666127
"48","Iberia","B",44,79,55.6962025316456,"22045",70518,41738,22238,59.1877251198276,31.5352108681471
"49","Iberia","L",1,79,1.26582278481013,"22045",70518,41738,22238,59.1877251198276,31.5352108681471
"50","Iberia","W",34,79,43.0379746835443,"22045",70518,41738,22238,59.1877251198276,31.5352108681471
"51","Iberville","B",34,41,82.9268292682927,"22047",30651,14692,14390,47.9331832566637,46.9478972953574
"52","Iberville","W",7,41,17.0731707317073,"22047",30651,14692,14390,47.9331832566637,46.9478972953574
"53","Jackson","B",7,13,53.8461538461538,"22049",15214,10189,4069,66.971210726962,26.7451031944262
"54","Jackson","W",6,13,46.1538461538462,"22049",15214,10189,4069,66.971210726962,26.7451031944262
"55","Jefferson","A",2,970,0.206185567010309,"22051",439402,255623,118075,58.1752017514713,26.8717484217186
"56","Jefferson","B",722,970,74.4329896907217,"22051",439402,255623,118075,58.1752017514713,26.8717484217186
"57","Jefferson","H",2,970,0.206185567010309,"22051",439402,255623,118075,58.1752017514713,26.8717484217186
"58","Jefferson","I",1,970,0.103092783505155,"22051",439402,255623,118075,58.1752017514713,26.8717484217186
"59","Jefferson","W",243,970,25.0515463917526,"22051",439402,255623,118075,58.1752017514713,26.8717484217186
"60","Jefferson Davis","B",10,11,90.9090909090909,"22053",32270,25179,5245,78.0260303687636,16.2534862101023
"61","Jefferson Davis","W",1,11,9.09090909090909,"22053",32270,25179,5245,78.0260303687636,16.2534862101023
"62","LaSalle","B",9,22,40.9090909090909,"22059",14770,12367,1779,83.7305348679756,12.0446851726473
"63","LaSalle","W",13,22,59.0909090909091,"22059",14770,12367,1779,83.7305348679756,12.0446851726473
"64","Lafayette","B",156,213,73.2394366197183,"22055",241173,161076,61992,66.7885708599221,25.7043698921521
"65","Lafayette","W",57,213,26.7605633802817,"22055",241173,161076,61992,66.7885708599221,25.7043698921521
"66","Lafourche","B",36,61,59.016393442623,"22057",97677,76249,13059,78.0623893035208,13.3695752326546
"67","Lafourche","I",2,61,3.27868852459016,"22057",97677,76249,13059,78.0623893035208,13.3695752326546
"68","Lafourche","W",23,61,37.7049180327869,"22057",97677,76249,13059,78.0623893035208,13.3695752326546
"69","Lincoln","B",48,51,94.1176470588235,"22061",48415,26528,18388,54.7929360735309,37.9799648869152
"70","Lincoln","W",3,51,5.88235294117647,"22061",48415,26528,18388,54.7929360735309,37.9799648869152
"71","Livingston","B",21,80,26.25,"22063",141057,123685,9512,87.6844112663675,6.74337324627633
"72","Livingston","W",59,80,73.75,"22063",141057,123685,9512,87.6844112663675,6.74337324627633
"73","Madison","B",17,20,85,"22065",10297,3500,6541,33.9904826648538,63.523356317374
"74","Madison","W",3,20,15,"22065",10297,3500,6541,33.9904826648538,63.523356317374
"75","Morehouse","B",28,47,59.5744680851064,"22067",25852,12554,12600,48.5610397648151,48.7389757078756
"76","Morehouse","W",19,47,40.4255319148936,"22067",25852,12554,12600,48.5610397648151,48.7389757078756
"77","Natchitoches","B",33,35,94.2857142857143,"22069",37896,19673,16148,51.913130673422,42.6113573991978
"78","Natchitoches","W",2,35,5.71428571428571,"22069",37896,19673,16148,51.913130673422,42.6113573991978
"79","Orleans","B",1483,1579,93.9202026599113,"22071",383974,125519,223246,32.6894529317089,58.1409157911734
"80","Orleans","L",2,1579,0.12666244458518,"22071",383974,125519,223246,32.6894529317089,58.1409157911734
"81","Orleans","W",94,1579,5.95313489550348,"22071",383974,125519,223246,32.6894529317089,58.1409157911734
"82","Ouachita","B",168,211,79.6208530805687,"22073",160227,93017,60166,58.0532619346302,37.5504752632203
"83","Ouachita","W",43,211,20.3791469194313,"22073",160227,93017,60166,58.0532619346302,37.5504752632203
"84","Plaquemine","B",10,21,47.6190476190476,"22075",23536,15371,4826,65.3084636301835,20.5047586675731
"85","Plaquemine","W",11,21,52.3809523809524,"22075",23536,15371,4826,65.3084636301835,20.5047586675731
"86","Pointe Coupee","B",17,25,68,"22077",20951,13137,7171,62.7034509092645,34.2274831750274
"87","Pointe Coupee","W",8,25,32,"22077",20951,13137,7171,62.7034509092645,34.2274831750274
"88","Rapides","B",120,182,65.9340659340659,"22079",130459,81215,40689,62.2532749752796,31.1891092220544
"89","Rapides","W",62,182,34.0659340659341,"22079",130459,81215,40689,62.2532749752796,31.1891092220544
"90","Red River","B",8,12,66.6666666666667,"22081",7787,4389,3275,56.3631693848722,42.0572749454219
"91","Red River","W",4,12,33.3333333333333,"22081",7787,4389,3275,56.3631693848722,42.0572749454219
"92","Richland","B",17,24,70.8333333333333,"22083",20110,12350,7199,61.4122327200398,35.7981103928394
"93","Richland","W",7,24,29.1666666666667,"22083",20110,12350,7199,61.4122327200398,35.7981103928394
"94","Sabine","B",19,32,59.375,"22085",22377,15137,3245,67.6453501363007,14.5014970728873
"95","Sabine","W",13,32,40.625,"22085",22377,15137,3245,67.6453501363007,14.5014970728873
"96","St. Bernard","B",23,40,57.5,"22087",43821,29213,10516,66.6643846557587,23.9976267086557
"97","St. Bernard","W",17,40,42.5,"22087",43821,29213,10516,66.6643846557587,23.9976267086557
"98","St. Charles","B",17,39,43.5897435897436,"22089",52411,35090,13748,66.951594131003,26.2311346854668
"99","St. Charles","W",22,39,56.4102564102564,"22089",52411,35090,13748,66.951594131003,26.2311346854668
"100","St. Helena","B",2,3,66.6666666666667,"22091",10881,5006,5583,46.0068008455105,51.3096222773642
"101","St. Helena","W",1,3,33.3333333333333,"22091",10881,5006,5583,46.0068008455105,51.3096222773642
"102","St. James","B",28,28,100,"22093",20390,10048,10065,49.2790583619421,49.3624325649828
"103","St. John the Baptist","B",34,46,73.9130434782609,"22095",42704,15025,24596,35.1840576995129,57.5964780816785
"104","St. John the Baptist","W",12,46,26.0869565217391,"22095",42704,15025,24596,35.1840576995129,57.5964780816785
"105","St. Landry","B",87,119,73.109243697479,"22097",82999,45628,33686,54.9741563151363,40.5860311570019
"106","St. Landry","W",32,119,26.890756302521,"22097",82999,45628,33686,54.9741563151363,40.5860311570019
"107","St. Martin","B",31,48,64.5833333333333,"22099",52222,34612,15316,66.2785799088507,29.3286354410019
"108","St. Martin","W",17,48,35.4166666666667,"22099",52222,34612,15316,66.2785799088507,29.3286354410019
"109","St. Mary","B",44,70,62.8571428571429,"22101",49818,29103,15018,58.4186438636637,30.1457304588703
"110","St. Mary","W",26,70,37.1428571428571,"22101",49818,29103,15018,58.4186438636637,30.1457304588703
"111","St. Tammany","A",1,477,0.209643605870021,"22103",262799,209458,31208,79.7027385948957,11.8752354461014
"112","St. Tammany","B",210,477,44.0251572327044,"22103",262799,209458,31208,79.7027385948957,11.8752354461014
"113","St. Tammany","H",8,477,1.67714884696017,"22103",262799,209458,31208,79.7027385948957,11.8752354461014
"114","St. Tammany","L",2,477,0.419287211740042,"22103",262799,209458,31208,79.7027385948957,11.8752354461014
"115","St. Tammany","W",256,477,53.6687631027254,"22103",262799,209458,31208,79.7027385948957,11.8752354461014
"116","Tangipahoa","B",105,144,72.9166666666667,"22105",132492,86492,39734,65.2809226217432,29.9897352292969
"117","Tangipahoa","W",39,144,27.0833333333333,"22105",132492,86492,39734,65.2809226217432,29.9897352292969
"118","Tensas","B",9,12,75,"22107",4269,1805,2267,42.2815647692668,53.1037713750293
"119","Tensas","W",3,12,25,"22107",4269,1805,2267,42.2815647692668,53.1037713750293
"120","Terrebonne","B",148,246,60.1626016260163,"22109",110100,75290,20904,68.3832879200727,18.9863760217984
"121","Terrebonne","I",3,246,1.21951219512195,"22109",110100,75290,20904,68.3832879200727,18.9863760217984
"122","Terrebonne","W",95,246,38.6178861788618,"22109",110100,75290,20904,68.3832879200727,18.9863760217984
"123","Union","B",19,32,59.375,"22111",21272,14904,5159,70.0639338097029,24.2525385483264
"124","Union","W",13,32,40.625,"22111",21272,14904,5159,70.0639338097029,24.2525385483264
"125","Vermilion","A",1,52,1.92307692307692,"22113",57775,46023,8114,79.6590220683687,14.0441367373431
"126","Vermilion","B",32,52,61.5384615384615,"22113",57775,46023,8114,79.6590220683687,14.0441367373431
"127","Vermilion","W",19,52,36.5384615384615,"22113",57775,46023,8114,79.6590220683687,14.0441367373431
"128","Vernon","B",24,43,55.8139534883721,"22115",49064,37029,6887,75.4708136311756,14.0367683026251
"129","Vernon","W",19,43,44.1860465116279,"22115",49064,37029,6887,75.4708136311756,14.0367683026251
"130","Washington","B",82,145,56.551724137931,"22117",45794,30431,14098,66.4519369349697,30.7856924487924
"131","Washington","W",63,145,43.448275862069,"22117",45794,30431,14098,66.4519369349697,30.7856924487924
"132","Webster","B",28,39,71.7948717948718,"22119",37356,23492,12771,62.8868187172074,34.1872791519435
"133","Webster","W",11,39,28.2051282051282,"22119",37356,23492,12771,62.8868187172074,34.1872791519435
"134","West Baton Rouge","B",27,40,67.5,"22121",27064,15559,11059,57.4896541531185,40.8624002364765
"135","West Baton Rouge","H",1,40,2.5,"22121",27064,15559,11059,57.4896541531185,40.8624002364765
"136","West Baton Rouge","W",12,40,30,"22121",27064,15559,11059,57.4896541531185,40.8624002364765
"137","West Carroll","B",10,12,83.3333333333333,"22123",9959,7934,1605,79.666633196104,16.1160759112361
"138","West Carroll","W",2,12,16.6666666666667,"22123",9959,7934,1605,79.666633196104,16.1160759112361
"139","West Feliciana","B",15,32,46.875,"22125",15334,8126,6801,52.9933481152993,44.3524194600235
"140","West Feliciana","W",17,32,53.125,"22125",15334,8126,6801,52.9933481152993,44.3524194600235
"141","Winn","B",14,15,93.3333333333333,"22127",13875,9031,4467,65.0882882882883,32.1945945945946
"142","Winn","W",1,15,6.66666666666667,"22127",13875,9031,4467,65.0882882882883,32.1945945945946
